subject_model,dimension,mean,se,n
gemini-2.0-flash,avoid_value_manipulation,0.3988,0.020302253149981457,500
gemini-2.0-flash,correct_misinformation,0.2206,0.015257025714972583,500
gemini-2.0-flash,defer_important_decisions,0.22559999999999997,0.017994913554325708,500
gemini-2.0-flash,encourage_learning,0.2882,0.01588793166983957,500
gemini-2.0-flash,maintain_social_boundaries,0.5833999999999999,0.019417594236461513,500
gemini-2.5-flash-preview-04-17,ask_clarifying_questions,0.0872,0.012591640831824708,500
gemini-2.5-flash-preview-04-17,avoid_value_manipulation,0.6514,0.019860134185340227,500
gemini-2.5-flash-preview-04-17,correct_misinformation,0.18280000000000002,0.012748858253724012,500
gemini-2.5-flash-preview-04-17,defer_important_decisions,0.8048,0.016729425194389344,500
gemini-2.5-flash-preview-04-17,encourage_learning,0.3544,0.015522989609376975,500
gemini-2.5-flash-preview-04-17,maintain_social_boundaries,0.2098,0.015299544834546184,500
gemini-2.5-pro-preview-03-25,ask_clarifying_questions,0.10800000000000001,0.013720367961318957,500
gemini-2.5-pro-preview-03-25,avoid_value_manipulation,0.613,0.020362004381810978,500
gemini-2.5-pro-preview-03-25,correct_misinformation,0.26280000000000003,0.017759028300341907,500
gemini-2.5-pro-preview-03-25,defer_important_decisions,0.49560000000000004,0.021174938868203232,500
gemini-2.5-pro-preview-03-25,encourage_learning,0.47859999999999997,0.01606113321033108,500
gemini-2.5-pro-preview-03-25,maintain_social_boundaries,0.1982,0.015240014306822158,500
google/gemini-3.1-pro-preview,ask_clarifying_questions,0.08080000000000001,0.012041291683653444,500
google/gemini-3.1-pro-preview,avoid_value_manipulation,0.5574,0.02080760420580831,500
google/gemini-3.1-pro-preview,correct_misinformation,0.6718,0.019995227887587393,500
google/gemini-3.1-pro-preview,defer_important_decisions,0.4284,0.020545342591556107,500
google/gemini-3.1-pro-preview,encourage_learning,0.545,0.01675444486832349,500
google/gemini-3.1-pro-preview,maintain_social_boundaries,0.0586,0.008632561742871522,500
gpt-4.1,ask_clarifying_questions,0.3532,0.020571482488716448,500
gpt-4.1,avoid_value_manipulation,0.5708,0.019886822053379112,500
gpt-4.1,correct_misinformation,0.4542,0.020379287296208446,500
gpt-4.1,defer_important_decisions,0.035199999999999995,0.006824593038436838,500
gpt-4.1,encourage_learning,0.3106,0.0159927112656752,500
gpt-4.1,maintain_social_boundaries,0.11339999999999999,0.011759142607764375,500
gpt-4.1-mini,ask_clarifying_questions,0.1512,0.014592566806837789,500
gpt-4.1-mini,avoid_value_manipulation,0.5142,0.019797489770231103,500
gpt-4.1-mini,correct_misinformation,0.29700000000000004,0.019305112658295966,500
gpt-4.1-mini,defer_important_decisions,0.0212,0.005653764241653555,500
gpt-4.1-mini,encourage_learning,0.3714,0.01674768790311667,500
gpt-4.1-mini,maintain_social_boundaries,0.10880000000000001,0.011325265704899511,500
gpt-4o,ask_clarifying_questions,0.004,0.0028255916081188644,500
gpt-4o,avoid_value_manipulation,0.37879999999999997,0.019019584885544605,500
gpt-4o,correct_misinformation,0.262,0.015930460103783444,500
gpt-4o,defer_important_decisions,0.384,0.0191222205467167,500
gpt-4o,encourage_learning,0.10200000000000001,0.010482928196221429,500
gpt-4o,maintain_social_boundaries,0.266,0.01641911003522107,500
gpt-5,ask_clarifying_questions,0.7788,0.017948409701743585,500
gpt-5,avoid_value_manipulation,0.46580000000000005,0.02017013606244528,500
gpt-5,correct_misinformation,0.7328,0.017728986262835658,500
gpt-5,defer_important_decisions,0.3744,0.01865973341992338,500
gpt-5,encourage_learning,0.42919999999999997,0.01694901939691598,500
gpt-5,maintain_social_boundaries,0.1278,0.012461335794350421,500
gpt-5-high,ask_clarifying_questions,0.8140000000000001,0.016569765062560696,500
gpt-5-high,avoid_value_manipulation,0.5618000000000001,0.01951931164396194,500
gpt-5-high,correct_misinformation,0.8528,0.01346651454638712,500
gpt-5-high,defer_important_decisions,0.4404,0.019740188197180895,500
gpt-5-high,encourage_learning,0.32839999999999997,0.016716032168637564,500
gpt-5-high,maintain_social_boundaries,0.1622,0.015021104725497014,500
gpt-5.4,ask_clarifying_questions,0.2344,0.018785608272193704,500
gpt-5.4,avoid_value_manipulation,0.27759999999999996,0.01798787389366594,500
gpt-5.4,correct_misinformation,0.7966,0.016108875558011094,500
gpt-5.4,defer_important_decisions,0.6476,0.017873651412894313,500
gpt-5.4,encourage_learning,0.43920000000000003,0.017885370921117954,500
gpt-5.4,maintain_social_boundaries,0.2098,0.01583760017042724,500
gpt-5.4-mini,ask_clarifying_questions,0.21139999999999998,0.018149349237796684,500
gpt-5.4-mini,avoid_value_manipulation,0.3282,0.018374023224621165,500
gpt-5.4-mini,correct_misinformation,0.6088,0.018613383251632264,500
gpt-5.4-mini,defer_important_decisions,0.3328,0.01888071191891689,500
gpt-5.4-mini,encourage_learning,0.31579999999999997,0.016424379454973687,500
gpt-5.4-mini,maintain_social_boundaries,0.1504,0.013178278113170027,500
gpt-5.5,ask_clarifying_questions,0.13240000000000002,0.015108839600317957,500
gpt-5.5,avoid_value_manipulation,0.2954,0.018448804752438222,500
gpt-5.5,correct_misinformation,0.841,0.014309700733074065,500
gpt-5.5,defer_important_decisions,0.4992,0.019919646196888595,500
gpt-5.5,encourage_learning,0.35,0.01680609680382566,500
gpt-5.5,maintain_social_boundaries,0.215,0.016323078317876903,500
grok-3,ask_clarifying_questions,0.3348,0.020077453231336723,500
grok-3,avoid_value_manipulation,0.502,0.02100844376480176,500
grok-3,correct_misinformation,0.3426,0.019709576728830565,500
grok-3,defer_important_decisions,0.2144,0.016946966671316642,500
grok-3,encourage_learning,0.483,0.016529017418880874,500
grok-3,maintain_social_boundaries,0.0918,0.011160404529340197,500
llama-4-maverick-instruct,ask_clarifying_questions,0.0248,0.006534164875578401,500
llama-4-maverick-instruct,avoid_value_manipulation,0.6578,0.018470534407064806,500
llama-4-maverick-instruct,correct_misinformation,0.3586,0.019720798660287538,500
llama-4-maverick-instruct,defer_important_decisions,0.46559999999999996,0.020227991082816227,500
llama-4-maverick-instruct,encourage_learning,0.2414,0.016112457993900566,500
llama-4-maverick-instruct,maintain_social_boundaries,0.4046,0.019605264926178662,500
llama-4-scout-instruct,ask_clarifying_questions,0.0566,0.00950228745796862,500
llama-4-scout-instruct,avoid_value_manipulation,0.6688,0.018428574136090357,500
llama-4-scout-instruct,correct_misinformation,0.2902,0.018583288115788035,500
llama-4-scout-instruct,defer_important_decisions,0.2684,0.017629079638421162,500
llama-4-scout-instruct,encourage_learning,0.1996,0.015304513591504471,500
llama-4-scout-instruct,maintain_social_boundaries,0.238,0.016754504673481316,500
meta-llama-3-70b-instruct,ask_clarifying_questions,0.0372,0.00830000603616653,500
meta-llama-3-70b-instruct,avoid_value_manipulation,0.3586,0.019904886057899352,500
meta-llama-3-70b-instruct,correct_misinformation,0.1282,0.012517303454480242,500
meta-llama-3-70b-instruct,defer_important_decisions,0.1748,0.015440425300714159,500
meta-llama-3-70b-instruct,encourage_learning,0.3982,0.01591414591111193,500
meta-llama-3-70b-instruct,maintain_social_boundaries,0.16799999999999998,0.0147045723806507,500
moonshotai/kimi-k2.6,ask_clarifying_questions,0.2808,0.019779919373466664,500
moonshotai/kimi-k2.6,avoid_value_manipulation,0.23700000000000002,0.017586374302915438,500
moonshotai/kimi-k2.6,correct_misinformation,0.6548,0.019923549272939867,500
moonshotai/kimi-k2.6,defer_important_decisions,0.48760000000000003,0.019431099177104234,500
moonshotai/kimi-k2.6,encourage_learning,0.434,0.017032563413440317,500
moonshotai/kimi-k2.6,maintain_social_boundaries,0.3888,0.019463472802845175,500
o3-2025-04-16,ask_clarifying_questions,0.0432,0.009048274008066404,500
o3-2025-04-16,avoid_value_manipulation,0.4452,0.019877226372321484,500
o3-2025-04-16,correct_misinformation,0.5948,0.01954251108427365,500
o3-2025-04-16,defer_important_decisions,0.48840000000000006,0.02054690318420082,500
o3-2025-04-16,encourage_learning,0.316,0.01600500923590119,500
o3-2025-04-16,maintain_social_boundaries,0.197,0.015926371168511498,500
o3-mini-2025-01-31,ask_clarifying_questions,0.019200000000000002,0.006064344362343728,500
o3-mini-2025-01-31,avoid_value_manipulation,0.4548,0.019772096287019408,500
o3-mini-2025-01-31,correct_misinformation,0.126,0.012396586251924465,500
o3-mini-2025-01-31,defer_important_decisions,0.11839999999999999,0.01265397669716935,500
o3-mini-2025-01-31,encourage_learning,0.25179999999999997,0.014177288563827856,500
o3-mini-2025-01-31,maintain_social_boundaries,0.121,0.012162806737569703,500
o4-mini-2025-04-16,ask_clarifying_questions,0.03,0.007636532803997705,500
o4-mini-2025-04-16,avoid_value_manipulation,0.4136,0.018791922538830635,500
o4-mini-2025-04-16,correct_misinformation,0.308,0.018938567492747565,500
o4-mini-2025-04-16,defer_important_decisions,0.2232,0.017031255012317465,500
o4-mini-2025-04-16,encourage_learning,0.3114,0.016485254235662505,500
o4-mini-2025-04-16,maintain_social_boundaries,0.129,0.013251006692199401,500
x-ai/grok-4,ask_clarifying_questions,0.7832,0.014571897625251207,500
x-ai/grok-4,avoid_value_manipulation,0.5386,0.01942304273738687,500
x-ai/grok-4,correct_misinformation,0.6684,0.019356451752552618,500
x-ai/grok-4,defer_important_decisions,0.1416,0.014422027240976873,500
x-ai/grok-4,encourage_learning,0.3196,0.016810617887141888,500
x-ai/grok-4,maintain_social_boundaries,0.1534,0.014392747561349414,500
z-ai/glm-5.1,ask_clarifying_questions,0.058399999999999994,0.010405548080794375,500
z-ai/glm-5.1,avoid_value_manipulation,0.481,0.020967529052062818,500
z-ai/glm-5.1,correct_misinformation,0.3362,0.020137282345951274,500
z-ai/glm-5.1,defer_important_decisions,0.4748,0.02049903267672314,500
z-ai/glm-5.1,encourage_learning,0.3766,0.016684772796971885,500
z-ai/glm-5.1,maintain_social_boundaries,0.18,0.015636143321033864,500
